id;name;count;level;is_active;time
1;European Monetary Unit (E.M.U.-6) Colombian Peso Unidad de Valor Real systemic;92496;solutions;true;hacking neural Steel
2;Analyst Romania;5897;dynamic;true;invoice
3;incubate alarm;18724;pink withdrawal;true;system
4;Auto Loan Account;15733;holistic Senior reboot;false;Nevada Cliff Handmade Frozen Hat
5;lavender;73761;Mauritania;true;Configuration yellow
6;Money Market Account bus Bedfordshire;54252;Infrastructure;false;circuit Practical Rubber
7;Corner;24548;Soap;false;cross-platform
8;Designer alarm Gold;11629;bypassing Arkansas;true;Village Bike Squares
9;networks end-to-end;12175;next-generation;true;connecting
10;Checking Account Louisiana platforms;31709;PNG;false;Bike salmon France
